,OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,WEEK_BEFORE_DISCOVERY_DATE,max_temp,min_temp,precipitation,wind_speed,wind_gusts,wind_direction
0,17,17,FS-1418878,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,,2004,2004-10-06,280,1415.0,Human,Equipment and vehicle use,16823.0,G,38.52333333,-120.21166667,USFS,CA,5.0,6005.0,Amador County,2004-09-29,68.075,41.7,0.026125,6.6875,22.1375,139.875
1,18,18,FS-1418881,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,,2004,2004-10-13,287,1618.0,Human,Power generation/transmission/distribution,7700.0,G,38.78,-120.26,USFS,CA,17.0,6017.0,El Dorado County,2004-10-06,70.5375,48.9,0.001,10.975,33.375,151.0
2,549,556,FS-1420078,FED,FS-FIRESTAT,FS,USCASQF,Sequoia National Forest,513,Sequoia National Forest,,2005,2005-07-09,190,1313.0,Human,Missing data/not specified/undetermined,1149.0,F,35.68805556,-118.43833333,USFS,CA,,,,2005-07-02,93.3875,68.75,0.0,6.75,24.25,304.5
3,3852,3871,FS-1426780,FED,FS-FIRESTAT,FS,USCATNF,Tahoe National Forest,517,Tahoe National Forest,,2005,2005-08-24,236,1458.0,Human,Missing data/not specified/undetermined,2270.0,F,39.61222222,-120.35166667,USFS,CA,,,,2005-08-17,84.55,57.675,0.001,9.6125,27.0375,246.875
4,4522,4545,FS-1427790,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,505,Klamath National Forest,,2005,2005-09-21,264,1745.0,Human,Missing data/not specified/undetermined,3225.0,F,41.49972222,-123.27638889,USFS,CA,,,,2005-09-14,77.3375,47.775,0.02025,5.3,20.95,150.25
5,4922,4945,FS-1428480,FED,FS-FIRESTAT,FS,USCASQF,Sequoia National Forest,513,Sequoia National Forest,,2005,2005-07-24,205,1451.0,Natural,Natural,1185.0,F,35.09333333,-118.20555556,USFS,CA,,,,2005-07-17,99.6625,71.45,0.01825,9.425,22.6,262.25
6,9164,9208,FS-1436048,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,,2006,2006-06-26,177,1437.0,Natural,Natural,3747.1,F,36.97638889,-118.26444444,MISSING/NOT SPECIFIED,CA,27.0,6027.0,Inyo County,2006-06-19,97.39999999999999,77.14999999999999,0.0,5.025,23.925,163.0
7,9331,9376,FS-1436358,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,417,Humboldt-Toiyabe National Forest,,2006,2006-07-17,198,1615.0,Natural,Natural,6255.0,G,38.55166667,-119.35944444,USFS,CA,51.0,6051.0,Mono County,2006-07-10,79.6625,48.7625,0.006500000000000001,7.8,26.375,234.0
8,9956,10003,FS-1437317,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,505,Klamath National Forest,UNCLES COMPLEX,2006,2006-07-24,205,1316.0,Natural,Natural,4850.0,F,41.10333333,-123.03666667,USFS,CA,93.0,6093.0,Siskiyou County,2006-07-17,97.325,66.925,0.0025,5.2375,21.675,203.75
9,10418,10467,FS-1437913,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,507,Los Padres National Forest,MT. PINOS LIGHTNING COMPLEX,2006,2006-07-22,203,1530.0,Natural,Natural,2418.0,F,34.90083333,-119.27944444,USFS,CA,29.0,6029.0,Kern County,2006-07-15,90.4,69.95,0.034999999999999996,4.5249999999999995,18.5125,48.875
10,11756,11810,FS-1439724,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,514,Shasta-Trinity National Forest,,2006,2006-02-26,57,1200.0,Human,Debris and open burning,2815.0,F,41.46777778,-122.33333333,USFS,CA,93.0,6093.0,Siskiyou County,2006-02-19,45.7125,28.2375,0.007375,6.225,22.75,155.125
